"L","u","v","col"
4034.74535636585,6992.8313750994,3610.04756584348,"darkorange4"
4593.39678284038,3242.7998420038,-10687.6726284753,"darkorchid"
5486.64922447424,3871.23969982078,-12804.9552242506,"darkorchid1"
5189.10718559395,3644.40782292885,-12120.6926407055,"darkorchid2"
4612.48260544988,3275.32244199608,-10727.8864386875,"darkorchid3"
3371.6301250293,2367.2817601643,-7864.71071425901,"darkorchid4"
3434.11268686785,11259.8163688365,2427.0732371741,"darkred"
6791.42530138643,6430.09297717571,3147.33059940232,"darksalmon"
6962.7368397252,-2363.50997647757,3022.5277315827,"darkseagreen"
8883.33735414775,-3063.77963137879,3918.05365387188,"darkseagreen1"
8404.71195496325,-2905.4086163401,3715.52403072777,"darkseagreen2"
7456.87822441208,-2579.84691728961,3299.18592616523,"darkseagreen3"
5460.31436423671,-1894.34547132463,2422.54603418684,"darkseagreen4"
3435.60694774724,-126.152715869151,-7505.41803564417,"darkslateblue"
3452.58347781451,-1799.17233000649,-387.814762530995,"darkslategray"
8834.93864621417,-4629.75963524294,-997.95283840923,"darkslategray1"
8359.99176651074,-4378.52969168309,-943.799781874627,"darkslategray2"
7415.87780230113,-3899.83737258128,-840.616809925958,"darkslategray3"
5430.78752073948,-2857.32076423242,-615.900520019484,"darkslategray4"
3452.58347781451,-1799.17233000649,-387.814762530995,"darkslategrey"
7269.85620783154,-5652.80095272714,-1485.50319932066,"darkturquoise"
4383.38317136469,3049.61783336248,-11915.5029483473,"darkviolet"
5764.29076260256,14089.8939637586,-2117.08075282495,"deeppink"
5764.29076260256,14089.8939637586,-2117.08075282495,"deeppink1"
5452.4260079421,13347.5244230615,-1990.58575684906,"deeppink2"
4837.86694795537,11836.7946078936,-1763.18129573251,"deeppink3"
3540.07952785745,8672.63837557686,-1295.1221788602,"deeppink4"
7038.22260985057,-4793.99593630708,-6882.48085264387,"deepskyblue"
7038.22260985057,-4793.99593630708,-6882.48085264387,"deepskyblue1"
6652.87986203196,-4527.72450393211,-6536.14849086993,"deepskyblue2"
5919.96796661421,-4038.99222754716,-5735.37579287099,"deepskyblue3"
4323.03405512508,-2942.87107767338,-4241.08040992998,"deepskyblue4"
4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,"dimgray"
4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,"dimgrey"
5911.83002570584,-3305.43143565317,-10952.0409469485,"dodgerblue"
5911.83002570584,-3305.43143565317,-10952.0409469485,"dodgerblue1"
5584.11943576217,-3115.68344867488,-10395.353232097,"dodgerblue2"
4968.13442916465,-2782.46287327658,-9172.8766724047,"dodgerblue3"
3619.62771775609,-2017.13279309723,-6774.92414796681,"dodgerblue4"
4283.12180787018,12768.0083126803,2752.16666530103,"firebrick"
5710.80708823359,17079.8811873175,3681.59845293597,"firebrick1"
5398.60260971324,16207.1671705965,3493.4834105315,"firebrick2"
4789.95655103803,14371.5731694413,3097.81789267711,"firebrick3"
3507.99888702591,10504.1032287959,2264.1779396762,"firebrick4"
9206.01891566189,341.402949116005,809.79093774902,"floralwhite"
5153.42368735107,-4646.56669559034,5942.16941491452,"forestgreen"
8299.35919931927,0,-5.98919078726726e-12,"gainsboro"
9150.67384585334,-39.8304304839069,-536.782860716572,"ghostwhite"
8246.83164124948,3576.69058007534,8682.10670440548,"gold"
8246.83164124948,3576.69058007534,8682.10670440548,"gold1"
7810.38383724875,3358.34028220316,8226.15721926757,"gold2"
6926.84148453396,2989.98700251586,7294.17545502807,"gold3"
5065.35316752768,2215.49183433261,5330.44193016127,"gold4"
6872.85035056459,4679.96748230378,6876.1794871206,"goldenrod"
7792.870318826,5308.01899417126,7801.25375273062,"goldenrod1"
7370.79400426089,5034.61457538263,7382.61954927941,"goldenrod2"
6538.65830235194,4470.87191631581,6551.61433111582,"goldenrod3"
4785.93839915101,3281.8099298669,4789.93290786574,"goldenrod4"
7379.36240516807,0,5.32527973202606e-12,"gray"
0,0,0,"gray0"
255.559495504269,-9.22116117228891e-14,-1.84423223445778e-13,"gray1"
390.287021582826,0,0,"gray2"
573.805010069072,-2.07041748492785e-13,0,"gray3"
688.306475640244,0,-4.96712903215356e-13,"gray4"
851.915655872187,-3.07390322261082e-13,0,"gray5"
956.748633526735,-3.45216417559012e-13,-1.38086567023605e-12,"gray6"
1108.952061069,0,0,"gray7"
1207.58502893544,4.35723828577949e-13,0,"gray8"
1351.94338226232,-4.87811568067603e-13,-9.75623136135206e-13,"gray9"
1492.58186799416,-1.07711419139034e-12,-2.15422838278069e-12,"gray10"
1584.53155179395,0,0,"gray11"
1720.04607952456,-1.24126259458786e-12,-1.24126259458786e-12,"gray12"
1808.92806753845,-1.30540383380672e-12,-1.30540383380672e-12,"gray13"
1940.26831757046,7.00092432038169e-13,-1.40018486407634e-12,"gray14"
2026.60975914825,0,-1.46249273074868e-12,"gray15"
2154.44540773422,-7.7737234151345e-13,-1.5547446830269e-12,"gray16"
2238.62800111548,-8.07747313882923e-13,0,"gray17"
2363.45475317866,0,-1.70557522501517e-12,"gray18"
2445.76666624233,-8.82487601359958e-13,-3.52995040543983e-12,"gray19"
2567.96511382579,0,0,"gray20"
2688.7349870348,-9.70156034159409e-13,0,"gray21"
2768.50182612767,0,1.99787540620442e-12,"gray22"
2887.09575410318,0,0,"gray23"
2965.48761734569,-1.07001460540584e-12,-2.14002921081168e-12,"gray24"
3082.12153083254,-1.11209874367255e-12,0,"gray25"
3159.26940669122,0,0,"gray26"
3274.1229319242,-1.18137716595453e-12,0,"gray27"
3350.13660463909,0,0,"gray28"
3463.3613153991,-1.24965862935945e-12,-2.4993172587189e-12,"gray29"
3575.6721020476,-1.290182886266e-12,2.580365772532e-12,"gray30"
3650.05938738602,-2.63404698253135e-12,-2.63404698253135e-12,"gray31"
3760.93978813802,0,-2.71406326556279e-12,"gray32"
3834.40899748299,0,-5.53416390128613e-12,"gray33"
3943.96180824241,0,-5.69228037007889e-12,"gray34"
4016.5769919557,0,0,"gray35"
4124.89222618655,0,-2.97670771034626e-12,"gray36"
4196.70969057568,1.51426721099701e-12,0,"gray37"
4303.86676817519,0,0,"gray38"
4374.93636671812,1.57857540282012e-12,0,"gray39"
4481.00583580583,-1.61684765202718e-12,0,"gray40"
4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,"gray41"
4656.41690082705,0,3.36027981610874e-12,"gray42"
4760.87463807552,1.71783060817726e-12,3.43566121635451e-12,"gray43"
4830.19643144222,-1.74284346978606e-12,0,"gray44"
4933.71757057753,0,-3.56039244850436e-12,"gray45"
5002.43145859758,0,0,"gray46"
5105.06423306273,0,0,"gray47"
5173.2008620324,0,-3.7332143602254e-12,"gray48"
5274.98913803449,0,0,"gray49"
5342.57643564761,-1.92772169514463e-12,-3.85544339028926e-12,"gray50"
5443.56026467014,0,-3.92831786215141e-12,"gray51"
5544.07923934468,0,0,"gray52"
5610.83986029548,0,-4.04903434025001e-12,"gray53"
5710.61166733166,-4.12103416254703e-12,-4.12103416254703e-12,"gray54"
5776.88511755228,-2.08443003213931e-12,0,"gray55"
5875.94188949743,0,-4.24034388510167e-12,"gray56"
5941.74875028344,0,0,"gray57"
6040.12017359714,-2.17941115867489e-12,0,"gray58"
6105.47948624923,0,0,"gray59"
6203.19306312149,-2.23825152358357e-12,0,"gray60"
6300.52431014958,0,-4.54674165162008e-12,"gray61"
6365.20376562877,0,-4.59341725507068e-12,"gray62"
6461.91717979197,0,-4.66321000354683e-12,"gray63"
6526.19248960099,2.35479697865451e-12,-4.70959395730902e-12,"gray64"
6622.31088014892,-2.38947865499428e-12,0,"gray65"
6686.19673801484,0,-4.8250602177165e-12,"gray66"
6781.74141634098,0,0,"gray67"
6845.25156531019,-2.4699206665766e-12,0,"gray68"
6940.24248388893,-2.50419552568093e-12,-5.00839105136186e-12,"gray69"
7034.91020479637,2.53835376779901e-12,0,"gray70"
7097.84567812838,0,0,"gray71"
7191.9890371107,0,-5.1900626842038e-12,"gray72"
7254.58067938667,0,0,"gray73"
7348.21663457271,-2.65140177173177e-12,0,"gray74"
7410.47541730246,0,1.06954645612203e-11,"gray75"
7503.6199476793,-2.70747478103381e-12,-1.08298991241352e-11,"gray76"
7565.55621712097,2.7298227795617e-12,0,"gray77"
7658.22440266795,-2.76325954436616e-12,-5.52651908873233e-12,"gray78"
7719.8479303507,0,0,"gray79"
7812.05402377986,0,-5.6375294604304e-12,"gray80"
7903.98938340979,0,5.70387414990532e-12,"gray81"
7965.1315429651,0,-5.74799708155917e-12,"gray82"
8056.62605243549,0,-5.8140236337357e-12,"gray83"
8117.47849858886,-2.92896874758573e-12,0,"gray84"
8208.54454540564,0,-5.92365484943088e-12,"gray85"
8269.11532447221,-2.98368272361568e-12,-5.96736544723135e-12,"gray86"
8359.76467256733,3.01639104647798e-12,0,"gray87"
8420.06143041278,0,0,"gray88"
8510.3052647833,0,0,"gray89"
8570.33527517212,-3.09236965415731e-12,-6.18473930831462e-12,"gray90"
8660.18424241671,-3.12478918161377e-12,-6.24957836322755e-12,"gray91"
8749.80118969112,-6.31424998209699e-12,-6.31424998209699e-12,"gray92"
8809.41867799335,-6.35727264241623e-12,-6.35727264241623e-12,"gray93"
8898.65676368371,-3.21083542886536e-12,0,"gray94"
8958.02485332238,-3.23225677037994e-12,0,"gray95"
9046.89348886416,0,0,"gray96"
9106.01831166989,-3.28565613748912e-12,0,"gray97"
9194.52648855469,-3.31759187763877e-12,-1.32703675105551e-11,"gray98"
9253.41390550527,0,0,"gray99"
9341.57022199546,-3.37064856264893e-12,0,"gray100"
8344.34284374286,-7971.69318804991,10194.4413048169,"green"
8344.34284374286,-7971.69318804991,10194.4413048169,"green1"
7895.50050699804,-7542.8956823218,9646.08214187894,"green2"
7005.2316993979,-6692.38535191261,8558.42391947087,"green3"
5129.95876284842,-4900.86015047201,6267.3675426945,"green4"
8667.62023800067,-4113.35256403781,9836.31759689557,"greenyellow"
7379.36240516807,0,5.32527973202606e-12,"grey"
0,0,0,"grey0"
255.559495504269,-9.22116117228891e-14,-1.84423223445778e-13,"grey1"
390.287021582826,0,0,"grey2"
573.805010069072,-2.07041748492785e-13,0,"grey3"
688.306475640244,0,-4.96712903215356e-13,"grey4"
851.915655872187,-3.07390322261082e-13,0,"grey5"
956.748633526735,-3.45216417559012e-13,-1.38086567023605e-12,"grey6"
1108.952061069,0,0,"grey7"
1207.58502893544,4.35723828577949e-13,0,"grey8"
1351.94338226232,-4.87811568067603e-13,-9.75623136135206e-13,"grey9"
1492.58186799416,-1.07711419139034e-12,-2.15422838278069e-12,"grey10"
1584.53155179395,0,0,"grey11"
1720.04607952456,-1.24126259458786e-12,-1.24126259458786e-12,"grey12"
1808.92806753845,-1.30540383380672e-12,-1.30540383380672e-12,"grey13"
1940.26831757046,7.00092432038169e-13,-1.40018486407634e-12,"grey14"
2026.60975914825,0,-1.46249273074868e-12,"grey15"
2154.44540773422,-7.7737234151345e-13,-1.5547446830269e-12,"grey16"
2238.62800111548,-8.07747313882923e-13,0,"grey17"
2363.45475317866,0,-1.70557522501517e-12,"grey18"
2445.76666624233,-8.82487601359958e-13,-3.52995040543983e-12,"grey19"
2567.96511382579,0,0,"grey20"
2688.7349870348,-9.70156034159409e-13,0,"grey21"
2768.50182612767,0,1.99787540620442e-12,"grey22"
2887.09575410318,0,0,"grey23"
2965.48761734569,-1.07001460540584e-12,-2.14002921081168e-12,"grey24"
3082.12153083254,-1.11209874367255e-12,0,"grey25"
3159.26940669122,0,0,"grey26"
3274.1229319242,-1.18137716595453e-12,0,"grey27"
3350.13660463909,0,0,"grey28"
3463.3613153991,-1.24965862935945e-12,-2.4993172587189e-12,"grey29"
3575.6721020476,-1.290182886266e-12,2.580365772532e-12,"grey30"
3650.05938738602,-2.63404698253135e-12,-2.63404698253135e-12,"grey31"
3760.93978813802,0,-2.71406326556279e-12,"grey32"
3834.40899748299,0,-5.53416390128613e-12,"grey33"
3943.96180824241,0,-5.69228037007889e-12,"grey34"
4016.5769919557,0,0,"grey35"
4124.89222618655,0,-2.97670771034626e-12,"grey36"
4196.70969057568,1.51426721099701e-12,0,"grey37"
4303.86676817519,0,0,"grey38"
4374.93636671812,1.57857540282012e-12,0,"grey39"
4481.00583580583,-1.61684765202718e-12,0,"grey40"
4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,"grey41"
4656.41690082705,0,3.36027981610874e-12,"grey42"
4760.87463807552,1.71783060817726e-12,3.43566121635451e-12,"grey43"
4830.19643144222,-1.74284346978606e-12,0,"grey44"
4933.71757057753,0,-3.56039244850436e-12,"grey45"
5002.43145859758,0,0,"grey46"
5105.06423306273,0,0,"grey47"
5173.2008620324,0,-3.7332143602254e-12,"grey48"
5274.98913803449,0,0,"grey49"
5342.57643564761,-1.92772169514463e-12,-3.85544339028926e-12,"grey50"
5443.56026467014,0,-3.92831786215141e-12,"grey51"
5544.07923934468,0,0,"grey52"
5610.83986029548,0,-4.04903434025001e-12,"grey53"
5710.61166733166,-4.12103416254703e-12,-4.12103416254703e-12,"grey54"
5776.88511755228,-2.08443003213931e-12,0,"grey55"
5875.94188949743,0,-4.24034388510167e-12,"grey56"
5941.74875028344,0,0,"grey57"
6040.12017359714,-2.17941115867489e-12,0,"grey58"
6105.47948624923,0,0,"grey59"
6203.19306312149,-2.23825152358357e-12,0,"grey60"
6300.52431014958,0,-4.54674165162008e-12,"grey61"
6365.20376562877,0,-4.59341725507068e-12,"grey62"
6461.91717979197,0,-4.66321000354683e-12,"grey63"
6526.19248960099,2.35479697865451e-12,-4.70959395730902e-12,"grey64"
6622.31088014892,-2.38947865499428e-12,0,"grey65"
6686.19673801484,0,-4.8250602177165e-12,"grey66"
6781.74141634098,0,0,"grey67"
6845.25156531019,-2.4699206665766e-12,0,"grey68"
6940.24248388893,-2.50419552568093e-12,-5.00839105136186e-12,"grey69"
7034.91020479637,2.53835376779901e-12,0,"grey70"
7097.84567812838,0,0,"grey71"
7191.9890371107,0,-5.1900626842038e-12,"grey72"
7254.58067938667,0,0,"grey73"
7348.21663457271,-2.65140177173177e-12,0,"grey74"
7410.47541730246,0,1.06954645612203e-11,"grey75"
7503.6199476793,-2.70747478103381e-12,-1.08298991241352e-11,"grey76"
7565.55621712097,2.7298227795617e-12,0,"grey77"
7658.22440266795,-2.76325954436616e-12,-5.52651908873233e-12,"grey78"
7719.8479303507,0,0,"grey79"
7812.05402377986,0,-5.6375294604304e-12,"grey80"
7903.98938340979,0,5.70387414990532e-12,"grey81"
7965.1315429651,0,-5.74799708155917e-12,"grey82"
8056.62605243549,0,-5.8140236337357e-12,"grey83"
8117.47849858886,-2.92896874758573e-12,0,"grey84"
8208.54454540564,0,-5.92365484943088e-12,"grey85"
8269.11532447221,-2.98368272361568e-12,-5.96736544723135e-12,"grey86"
8359.76467256733,3.01639104647798e-12,0,"grey87"
8420.06143041278,0,0,"grey88"
8510.3052647833,0,0,"grey89"
8570.33527517212,-3.09236965415731e-12,-6.18473930831462e-12,"grey90"
8660.18424241671,-3.12478918161377e-12,-6.24957836322755e-12,"grey91"
8749.80118969112,-6.31424998209699e-12,-6.31424998209699e-12,"grey92"
8809.41867799335,-6.35727264241623e-12,-6.35727264241623e-12,"grey93"
8898.65676368371,-3.21083542886536e-12,0,"grey94"
8958.02485332238,-3.23225677037994e-12,0,"grey95"
9046.89348886416,0,0,"grey96"
9106.01831166989,-3.28565613748912e-12,0,"grey97"
9194.52648855469,-3.31759187763877e-12,-1.32703675105551e-11,"grey98"
9253.41390550527,0,0,"grey99"
9341.57022199546,-3.37064856264893e-12,0,"grey100"
9218.83790054743,-749.437280894802,958.402963021275,"honeydew"
9218.83790054743,-749.437280894802,958.402963021275,"honeydew1"
8723.04822004943,-709.121427356819,906.845835463654,"honeydew2"
7740.14851913811,-626.084605085065,800.655846609469,"honeydew3"
5669.82442242129,-450.761838168638,576.447812686784,"honeydew4"
6456.73223700906,9730.59118997543,-2743.9437904974,"hotpink"
6521.38834411549,9460.0721823812,-2525.35278327518,"hotpink1"
6213.17279033889,8796.60836259423,-2154.628274384,"hotpink2"
5581.18686301265,7515.74167848798,-1697.07165380073,"hotpink3"
3978.95605997758,5937.67783119034,-1638.27277198771,"hotpink4"
5413.480043504,9392.2318531882,2024.51210761287,"indianred"
6320.3843822497,12051.0055471545,2597.61545716553,"indianred1"
5981.22905328045,11395.2770864484,2456.27203328538,"indianred2"
5302.24513885879,10138.1291812908,2185.29158957032,"indianred3"
3888.06887836462,7379.01150141852,1590.558917236,"indianred4"
9311.09942436241,83.0083053750584,1118.67823373048,"ivory"
9311.09942436241,83.0083053750584,1118.67823373048,"ivory1"
8810.35518324362,78.54298515739,1058.50044174241,"ivory2"
7817.26008728362,69.3518454321075,934.634186343106,"ivory3"
5725.40931709678,49.9462242709182,673.110403789584,"ivory4"
8522.17678528933,1098.34783649794,6005.06200532637,"khaki"
8975.32934045707,1076.67083124815,6659.36166303634,"khaki1"
8500.8815759174,995.444802600936,6341.85306344044,"khaki2"
7540.50547601747,888.398763620798,5599.6717523715,"khaki3"
5516.14570251774,668.234710872495,4086.33951243679,"khaki4"
8645.82303921042,-116.930394899887,-1575.83614127505,"lavender"
9008.14676681492,827.492728365619,-193.833936591675,"lavenderblush"
9008.14676681492,827.492728365619,-193.833936591675,"lavenderblush1"
8524.39761083547,780.527278157119,-209.226683259404,"lavenderblush2"
7564.08445439443,691.191581047563,-161.95378271723,"lavenderblush3"
5543.79379764568,494.683487463076,-145.385731268101,"lavenderblush4"
8414.64932715811,-6049.33600642186,10038.3669469461,"lawngreen"
9142.69163111642,541.097492558158,3279.99342797024,"lemonchiffon"
9142.69163111642,541.097492558158,3279.99342797024,"lemonchiffon1"
8643.26045150273,532.648112431083,3107.10446441177,"lemonchiffon2"
7676.48200081528,452.008667006154,2741.07650090163,"lemonchiffon3"
5639.26312872848,285.619977135201,2043.09875507804,"lemonchiffon4"
7962.10715169478,-2260.1005362306,-1636.78122014139,"lightblue"
8633.78169204762,-2470.16658952719,-1821.11962064414,"lightblue1"
8166.56646900894,-2346.31469651141,-1730.92304865404,"lightblue2"
7247.45910175903,-2046.79433010543,-1534.14582533737,"lightblue3"
5325.7949762259,-1558.59421541485,-1061.89283918985,"lightblue4"
6489.76795012756,8594.57852102812,1852.57652788294,"lightcoral"
9158.83467015975,-1629.6797694972,-351.280342782307,"lightcyan"
9158.83467015975,-1629.6797694972,-351.280342782307,"lightcyan1"
8665.89724107362,-1545.35514494304,-333.104021536378,"lightcyan2"
7688.82213858949,-1372.17469434799,-295.774670588497,"lightcyan3"
5630.68386008637,-1007.52305365186,-217.173367597915,"lightcyan4"
8301.77106381895,1586.7352993474,6077.586848697,"lightgoldenrod"
8756.56390477122,1729.02752267036,6401.54685227593,"lightgoldenrod1"
8280.09986236226,1652.14948542545,6032.01564648539,"lightgoldenrod2"
7357.85141315607,1431.69664992756,5374.19585485559,"lightgoldenrod3"
5392.62823144734,1035.60978267851,3940.81711951996,"lightgoldenrod4"
9118.40942785633,215.033590396382,2897.94371792606,"lightgoldenrodyellow"
8026.15682470929,0,0,"lightgray"
8201.25356113311,-4555.5309538044,5825.75016690979,"lightgreen"
8026.15682470929,0,0,"lightgrey"
7739.45574816092,4727.76748078158,239.099838954771,"lightpink"
7572.30648512941,5369.77591156406,388.453319526717,"lightpink1"
7158.07563019318,5101.26263700543,319.547606630445,"lightpink2"
6359.80806361355,4494.73177127844,311.44132648996,"lightpink3"
4658.52126399527,3285.95182154989,235.080156221652,"lightpink4"
7208.93798207286,7412.33269780605,3856.02504387761,"lightsalmon"
7208.93798207286,7412.33269780605,3856.02504387761,"lightsalmon1"
6815.07461785779,7038.23367846076,3626.2262933758,"lightsalmon2"
6058.79343714267,6192.27625787709,3258.44376746943,"lightsalmon3"
4426.14215816078,4582.84839141308,2390.2542050002,"lightsalmon4"
6448.42144563811,-5026.38098350265,-358.774128323709,"lightseagreen"
7616.79313136409,-3340.97445653355,-4525.70843442289,"lightskyblue"
8268.86047977741,-2572.31355617377,-2946.89868154543,"lightskyblue1"
7824.31680000862,-2448.02072192908,-2786.24404712706,"lightskyblue2"
6946.83456185648,-2194.28024054767,-2454.77498166451,"lightskyblue3"
5079.06064388143,-1569.27551770377,-1826.91722573621,"lightskyblue4"
5592.11709940202,-211.493096480607,-12213.4982258571,"lightslateblue"
5576.50572939787,-1063.59728595377,-1747.79300869251,"lightslategray"
5576.50572939787,-1063.59728595377,-1747.79300869251,"lightslategrey"
7504.77010362016,-1208.7617742497,-2411.81221619998,"lightsteelblue"
8382.45915748547,-1352.65573858147,-2707.11783729705,"lightsteelblue1"
7928.53298085755,-1306.059880778,-2568.45977526039,"lightsteelblue2"
7037.65493041099,-1160.80867800965,-2268.93886947942,"lightsteelblue3"
5161.52099374956,-855.123300635382,-1636.72671530483,"lightsteelblue4"
9281.21666982689,168.240937386768,2267.33305572985,"lightyellow"
9281.21666982689,168.240937386768,2267.33305572985,"lightyellow1"
8781.9565866524,159.54250282337,2150.10684120065,"lightyellow2"
7791.89886507905,141.665868551086,1909.18876002307,"lightyellow3"
5706.42430613578,104.024833244441,1401.91172669046,"lightyellow4"
7036.99899945371,-6347.7667253927,8117.71524218881,"limegreen"
8943.40710339456,637.228437470101,874.284205620704,"linen"
6155.3424534884,8603.59674812743,-11002.5386063001,"magenta"
6155.3424534884,8603.59674812743,-11002.5386063001,"magenta1"
5824.02114054136,8140.49416818227,-10410.309081406,"magenta2"
5166.85267388318,7221.94048486804,-9235.63497027641,"magenta3"
3782.58510238433,5287.0879455205,-6761.28727769047,"magenta4"
4442.71963432171,9774.97884767821,-546.470778329014,"maroon"
5967.35798054686,11886.2182726982,-4351.7042449858,"maroon1"
5642.96499880448,11262.923399628,-4122.37633578409,"maroon2"
5004.77159975432,9992.23735659794,-3677.76497143461,"maroon3"
