"date","pce","pop","psavert","uempmed","unemploy"
1971-09-30,717.8,208345,9.6,6.5,4954
1971-10-31,723,208555,9.5,6.4,5161
1971-11-30,730.5,208740,9.5,6.2,5154
1971-12-31,733.7,208917,9.1,6.2,5019
1972-01-31,738.4,209061,9.4,6.6,4928
1972-02-29,751.5,209212,8.2,6.6,5038
1972-03-31,754.9,209386,8.3,6.7,4959
1972-04-30,760.4,209545,8.5,6.6,4922
1972-05-31,764,209725,7.2,5.4,4923
1972-06-30,772.4,209896,8.2,6.1,4913
1972-07-31,778.9,210075,8.6,6,4939
1972-08-31,783.7,210278,8.8,5.6,4849
1972-09-30,797.5,210479,9.5,5.7,4875
1972-10-31,803.1,210656,10.2,5.7,4602
1972-11-30,808.8,210821,10.3,6.1,4543
1972-12-31,819.1,210985,9.1,5.7,4326
1973-01-31,828.5,211120,9.5,5.2,4452
1973-02-28,835.5,211254,9.7,5.5,4394
1973-03-31,838.5,211420,10,5,4459
1973-04-30,844.3,211577,10.2,4.9,4329
1973-05-31,847.1,211746,10.7,5,4363
1973-06-30,857,211909,10.2,5.2,4305
1973-07-31,856.1,212092,11,4.9,4305
1973-08-31,872.2,212289,10.2,5.4,4350
1973-09-30,871.2,212475,11.5,5.5,4144
1973-10-31,879.9,212634,11.6,5.1,4396
1973-11-30,879.7,212785,12,4.7,4489
1973-12-31,887.7,212932,11.6,5,4644
1974-01-31,892.9,213074,11.4,5.1,4731
1974-02-28,904.7,213211,10.6,4.8,4634
1974-03-31,914.1,213361,10.2,5,4618
1974-04-30,925.7,213513,10,4.6,4705
1974-05-31,931.3,213686,10.2,5.3,4927
1974-06-30,941.2,213854,10.6,5.7,5063
1974-07-31,958,214042,9.5,5,5022
1974-08-31,958.3,214246,10.2,5.3,5437
1974-09-30,962.5,214451,10.7,5.5,5523
1974-10-31,959.5,214625,11.1,5.2,6140
1974-11-30,965.1,214782,11.1,5.7,6636
1974-12-31,978.9,214931,10.3,6.3,7501
1975-01-31,992.8,215065,9.5,7.1,7520
1975-02-28,994.1,215198,9.7,7.2,7978
1975-03-31,998.8,215353,11.3,8.7,8210
1975-04-30,1022.8,215523,14.6,9.4,8433
1975-05-31,1030.7,215768,11.4,8.8,8220
1975-06-30,1043.8,215973,9.7,8.6,8127
1975-07-31,1051,216195,10.1,9.2,7928
1975-08-31,1058.9,216393,10.2,9.2,7923
1975-09-30,1064.8,216587,10.7,8.6,7897
1975-10-31,1079.7,216771,10,9.5,7794
1975-11-30,1096,216931,9.3,9,7744
1975-12-31,1111.2,217095,9.2,9,7534
1976-01-31,1111.8,217249,9.9,8.2,7326
1976-02-29,1119,217381,9.8,8.7,7230
1976-03-31,1129.6,217528,9.4,8.2,7330
1976-04-30,1126.8,217685,10.1,8.3,7053
1976-05-31,1144.7,217861,9.2,7.8,7322
1976-06-30,1153.8,218035,9.5,7.7,7490
1976-07-31,1162.3,218233,9.6,7.9,7518
1976-08-31,1173.2,218440,9.3,7.8,7380
1976-09-30,1181.2,218644,9,7.7,7430
1976-10-31,1193.5,218834,9.4,8.4,7620
1976-11-30,1216,219006,8.4,8,7545
1976-12-31,1219.3,219179,8.5,7.5,7280
1977-01-31,1235.6,219344,7.1,7.2,7443
1977-02-28,1242.6,219504,8.4,7.2,7307
1977-03-31,1251.6,219684,8.4,7.3,7059
1977-04-30,1261.5,219859,8.3,7.9,6911
1977-05-31,1268.2,220046,8.7,6.2,7134
1977-06-30,1285.2,220239,8.6,7.1,6829
1977-07-31,1290.4,220458,9,7,6925
1977-08-31,1299.4,220688,9.3,6.7,6751
1977-09-30,1316.3,220904,9.4,6.9,6763
1977-10-31,1332,221109,9.4,7,6815
1977-11-30,1341.3,221303,9.4,6.8,6386
1977-12-31,1335.2,221477,9.9,6.5,6489
1978-01-31,1361,221629,9.1,6.7,6318
1978-02-28,1383.6,221792,9.1,6.2,6337
1978-03-31,1402.5,221991,8.9,6.1,6180
1978-04-30,1418.2,222176,8.5,5.7,6127
1978-05-31,1432.1,222379,8.1,6,6028
1978-06-30,1433.2,222585,9.1,5.8,6309
1978-07-31,1453.4,222805,8.5,5.8,6080
1978-08-31,1459.4,223053,8.8,5.6,6125
1978-09-30,1473.5,223271,8.9,5.9,5947
1978-10-31,1487.1,223477,8.8,5.5,6077
1978-11-30,1503,223670,8.7,5.6,6228
1978-12-31,1508.9,223865,9.4,5.9,6109
1979-01-31,1524.4,224053,9.3,5.9,6173
1979-02-28,1537.7,224235,9.5,5.9,6109
1979-03-31,1545.1,224438,9.2,5.4,6069
1979-04-30,1565.5,224632,8.8,5.6,5840
1979-05-31,1582.3,224843,8.4,5.6,5959
1979-06-30,1592.6,225055,9.1,5.9,5996
1979-07-31,1622.3,225295,8.3,4.8,6320
1979-08-31,1640.8,225547,7.9,5.5,6190
1979-09-30,1648.7,225801,8.7,5.5,6296
1979-10-31,1664.5,226027,8.8,5.3,6238
1979-11-30,1673.5,226243,9.3,5.7,6325
1979-12-31,1704.1,226451,9.3,5.3,6683
1980-01-31,1708.2,226656,9.6,5.8,6702
1980-02-29,1714.9,226849,9.7,6,6729
1980-03-31,1701.8,227061,10.1,5.8,7358
1980-04-30,1706.6,227251,10,5.7,7984
1980-05-31,1725.3,227522,9.7,6.4,8098
1980-06-30,1753.6,227726,9.8,7,8363
1980-07-31,1770.1,227953,9.8,7.5,8281
1980-08-31,1786.6,228186,10.3,7.7,8021
1980-09-30,1823,228417,10.4,7.5,8088
1980-10-31,1833,228612,10.9,7.7,8023
1980-11-30,1858.3,228779,10.7,7.5,7718
1980-12-31,1877.7,228937,9.9,7.4,8071
1981-01-31,1892.2,229071,9.8,7.1,8051
1981-02-28,1911.3,229224,9.7,7.1,7982
1981-03-31,1912.6,229403,9.8,7.4,7869
1981-04-30,1921.7,229575,10,6.9,8174
1981-05-31,1942.3,229761,9.9,6.6,8098
1981-06-30,1949.6,229966,11.4,7.1,7863
1981-07-31,1973.7,230187,11.2,7.2,8036
1981-08-31,1972.1,230412,11.7,6.8,8230
1981-09-30,1970,230641,12.5,6.8,8646
1981-10-31,1976,230822,12.5,6.9,9029
1981-11-30,1993.6,230989,11.7,6.9,9267
1981-12-31,2001.1,231157,11.9,7.1,9397
1982-01-31,2024.9,231313,11.3,7.5,9705
1982-02-28,2028.1,231470,11.5,7.7,9895
1982-03-31,2030.5,231645,12.2,8.1,10244
1982-04-30,2049.3,231809,11.6,8.5,10335
1982-05-31,2053.5,231992,11.5,9.5,10538
1982-06-30,2078.3,232188,11.9,8.5,10849
1982-07-31,2086.9,232392,11.7,8.7,10881
1982-08-31,2112,232599,10.8,9.5,11217
1982-09-30,2133.8,232816,10.3,9.7,11529
1982-10-31,2158.1,232993,9.9,10,11938
1982-11-30,2170.8,233160,9.7,10.2,12051
1982-12-31,2183.6,233322,9.9,11.1,11534
1983-01-31,2186.5,233473,10,9.8,11545
1983-02-28,2212.2,233613,9.5,10.4,11408
1983-03-31,2235.3,233781,9.1,10.9,11268
1983-04-30,2254.7,233922,8.9,12.3,11154
1983-05-31,2284.7,234118,8.1,11.3,11246
1983-06-30,2313.2,234307,8.6,10.1,10548
1983-07-31,2329.2,234501,8,9.3,10623
1983-08-31,2343.4,234701,8.5,9.3,10282
1983-09-30,2366.2,234907,8.6,9.4,9887
1983-10-31,2375,235078,9.2,9.3,9499
1983-11-30,2402.7,235235,9.1,8.7,9331
1983-12-31,2428.6,235385,9.4,9.1,9008
1984-01-31,2412.8,235527,10.8,8.3,8791
1984-02-29,2441.3,235675,10.6,8.3,8746
1984-03-31,2467.6,235839,10.8,8.2,8762
1984-04-30,2485,235993,10.5,9.1,8456
1984-05-31,2506.5,236160,10.6,7.5,8226
1984-06-30,2505.7,236348,11.4,7.5,8537
1984-07-31,2523.8,236549,11.3,7.3,8519
1984-08-31,2545.4,236760,11.2,7.6,8367
1984-09-30,2543.6,236976,11.4,7.2,8381
1984-10-31,2584,237159,10.6,7.2,8198
1984-11-30,2595.3,237316,11,7.3,8358
1984-12-31,2629.6,237468,10.3,6.8,8423
1985-01-31,2650.5,237602,9.1,7.1,8321
1985-02-28,2657.1,237732,8.7,7.1,8339
1985-03-31,2668.8,237900,10.1,6.9,8395
1985-04-30,2705,238074,11.1,6.9,8302
1985-05-31,2696.4,238270,9.5,6.6,8460
1985-06-30,2720.5,238466,8.9,6.9,8513
1985-07-31,2756,238679,8,7.1,8196
1985-08-31,2799.7,238898,6.8,6.9,8248
1985-09-30,2762.3,239113,8.9,7.1,8298
1985-10-31,2778.7,239307,8.5,7,8128
1985-11-30,2819.1,239477,8.3,6.8,8138
1985-12-31,2833.5,239638,8.2,6.7,7795
1986-01-31,2826.7,239788,8.9,6.9,8402
1986-02-28,2830.7,239928,9.5,6.8,8383
1986-03-31,2843.8,240094,9.1,6.7,8364
1986-04-30,2867.8,240271,8.7,6.8,8439
1986-05-31,2874.2,240459,8.9,7,8508
1986-06-30,2895.9,240651,8.6,6.9,8319
1986-07-31,2914.8,240854,8.3,7.1,8135
1986-08-31,2989.8,241068,6.4,7.4,8310
1986-09-30,2951.6,241274,7.5,7,8243
1986-10-31,2948.5,241467,8.1,7.1,8159
1986-11-30,3019.5,241620,5.9,7.1,7883
1986-12-31,2959.7,241784,8.8,6.9,7892
1987-01-31,3026.7,241930,7.6,6.6,7865
1987-02-28,3037.6,242079,7.7,6.6,7862
1987-03-31,3061.2,242252,3.5,7.1,7542
1987-04-30,3070.1,242423,7.2,6.6,7574
1987-05-31,3094.8,242608,6.7,6.5,7398
1987-06-30,3118.2,242804,6.5,6.5,7268
1987-07-31,3155.2,243012,6.2,6.4,7261
1987-08-31,3151.3,243223,6.7,6,7102
1987-09-30,3159.6,243446,7.4,6.3,7227
1987-10-31,3169.3,243639,7.6,6.2,7035
1987-11-30,3199,243809,7.7,6,6936
1987-12-31,3238.6,243981,7,6.2,6953
1988-01-31,3246.2,244131,7.5,6.3,6929
1988-02-29,3285.5,244279,7.2,6.4,6876
1988-03-31,3288,244445,7.6,5.9,6601
1988-04-30,3318.5,244610,7.2,5.9,6779
1988-05-31,3342.7,244806,7.3,5.8,6546
1988-06-30,3365.6,245021,7.5,6.1,6605
1988-07-31,3390,245240,7.2,5.9,6843
1988-08-31,3396.6,245464,7.5,5.7,6604
1988-09-30,3436.3,245693,7.2,5.6,6568
1988-10-31,3452.4,245884,7,5.7,6537
1988-11-30,3482.8,246056,7.2,5.9,6518
1988-12-31,3505.3,246224,7.6,5.6,6682
1989-01-31,3509.3,246378,7.9,5.4,6359
1989-02-28,3519.3,246530,8.3,5.4,6205
1989-03-31,3563.2,246721,7.3,5.4,6468
1989-04-30,3571.8,246906,7,5.3,6375
1989-05-31,3586.7,247114,7.1,5.4,6577
1989-06-30,3606.4,247342,7.1,5.6,6495
1989-07-31,3642.2,247573,6.4,5,6511
1989-08-31,3644.2,247816,6.6,4.9,6590
1989-09-30,3657,248067,6.8,4.9,6630
1989-10-31,3667.6,248281,7.2,4.8,6725
1989-11-30,3708.9,248479,6.5,4.9,6667
1989-12-31,3754.5,248659,6.6,5.1,6752
1990-01-31,3752.2,248827,7.3,5.3,6651
1990-02-28,3781,249012,7,5.1,6598
1990-03-31,3800.5,249306,7.3,4.8,6797
1990-04-30,3808.6,249565,7.2,5.2,6742
1990-05-31,3838.5,249849,7.1,5.2,6590
1990-06-30,3855.1,250132,7.2,5.4,6922
1990-07-31,3881,250439,6.7,5.4,7188
1990-08-31,3902.7,250751,6.7,5.6,7368
1990-09-30,3902.9,251057,6.6,5.8,7459
1990-10-31,3905.6,251346,6.7,5.7,7764
1990-11-30,3896.6,251626,7.3,5.9,7901
1990-12-31,3879.3,251889,7.9,6,8015
1991-01-31,3907.7,252135,7.5,6.2,8265
1991-02-28,3955.6,252372,6.6,6.7,8586
1991-03-31,3950.5,252643,7.1,6.6,8439
1991-04-30,3976.8,252913,6.9,6.4,8736
1991-05-31,3983.6,253207,7.4,6.9,8692
1991-06-30,4008.4,253493,6.8,7,8586
1991-07-31,4011.3,253807,7,7.3,8666
1991-08-31,4027.3,254126,7.2,6.8,8722
1991-09-30,4020.1,254435,7.5,7.2,8842
1991-10-31,4048.2,254718,7.3,7.5,8931
1991-11-30,4064,254964,7.9,7.8,9198
1991-12-31,4128.2,255214,7.4,8.1,9283
1992-01-31,4141.8,255448,7.9,8.2,9454
1992-02-29,4157.6,255703,7.9,8.3,9460
1992-03-31,4169.8,255992,8,8.5,9415
1992-04-30,4195.5,256285,7.9,8.8,9744
1992-05-31,4213.8,256589,7.8,8.7,10040
1992-06-30,4241.8,256894,7.5,8.6,9850
1992-07-31,4258.8,257232,7.6,8.8,9787
1992-08-31,4292.5,257548,6.9,8.6,9781
1992-09-30,4320.2,257861,7.1,9,9398
1992-10-31,4334.3,258147,7,9,9565
1992-11-30,4368.8,258413,9.4,9.3,9557
1992-12-31,4371.5,258679,5.8,8.6,9325
1993-01-31,4385,258919,5.6,8.5,9183
1993-02-28,4381.5,259152,5.6,8.5,9056
1993-03-31,4422.5,259414,6.4,8.4,9110
1993-04-30,4450.9,259680,6.3,8.1,9149
1993-05-31,4466.7,259963,5.9,8.3,9121
1993-06-30,4493.8,260255,5.4,8.2,8930
1993-07-31,4504.3,260566,5.6,8.2,8763
1993-08-31,4534,260867,5,8.3,8714
1993-09-30,4554.8,261163,5,8,8750
1993-10-31,4575.9,261425,5,8.3,8542
1993-11-30,4593.9,261674,7.6,8.3,8477
1993-12-31,4608.5,261919,4,8.6,8630
1994-01-31,4655.7,262123,3.9,9.2,8583
1994-02-28,4667.5,262352,4.3,9.3,8470
1994-03-31,4690.3,262631,4.2,9.1,8331
1994-04-30,4688.3,262877,5.8,9.2,7915
1994-05-31,4729.9,263152,5.1,9.3,7927
1994-06-30,4745.4,263436,5.1,9,7946
1994-07-31,4789.2,263724,4.7,8.9,7933
1994-08-31,4801.2,264017,5,9.2,7734
1994-09-30,4836.2,264301,5.3,10,7632
1994-10-31,4846.5,264559,5.2,9,7375
1994-11-30,4860.9,264804,5.3,8.7,7230
1994-12-31,4869.3,265044,5.6,8,7375
1995-01-31,4867.4,265270,5.9,8.1,7187
1995-02-28,4900.5,265495,5.5,8.3,7153
1995-03-31,4904.2,265755,4.8,8.3,7645
1995-04-30,4946.1,265998,4.9,9.1,7430
1995-05-31,4989.8,266270,4.4,7.9,7427
1995-06-30,4982.7,266557,4.6,8.5,7527
1995-07-31,5018,266843,4.1,8.3,7484
1995-08-31,5032.5,267152,4.1,7.9,7478
1995-09-30,5024.5,267456,4.4,8.2,7328
1995-10-31,5065.8,267715,3.9,8,7426
1995-11-30,5108.8,267943,3.6,8.3,7423
1995-12-31,5098,268151,4.2,8.3,7491
1996-01-31,5145.2,268364,4.3,7.8,7313
1996-02-29,5185.1,268595,4.2,8.3,7318
1996-03-31,5219.6,268853,3.1,8.6,7415
1996-04-30,5234.8,269108,4.1,8.6,7423
1996-05-31,5241.6,269386,4.5,8.3,7095
1996-06-30,5263.6,269667,4.1,8.3,7337
1996-07-31,5287.5,269976,4.1,8.4,6882
1996-08-31,5308.2,270284,4.1,8.5,6979
1996-09-30,5340.1,270581,3.8,8.3,7031
1996-10-31,5365.5,270878,3.8,7.7,7236
1996-11-30,5392.7,271125,3.8,7.8,7253
1996-12-31,5419.9,271360,3.7,7.8,7158
1997-01-31,5453.9,271585,3.5,8.1,7102
1997-02-28,5472.6,271821,3.7,7.9,7000
1997-03-31,5473.4,272083,3.8,8.3,6873
1997-04-30,5474.4,272342,4,8,6655
1997-05-31,5506.1,272622,3.9,8,6799
1997-06-30,5565,272912,3.3,8.3,6655
1997-07-31,5596.7,273237,3.3,7.8,6608
1997-08-31,5607.6,273553,3.6,8.2,6656
1997-09-30,5639.2,273852,3.5,7.7,6454
1997-10-31,5666.1,274126,3.7,7.6,6308
1997-11-30,5694,274372,3.8,7.5,6476
1997-12-31,5698.7,274626,4.6,7.4,6368
1998-01-31,5736.6,274838,4.6,7,6306
1998-02-28,5764.8,275047,4.7,6.8,6422
1998-03-31,5788.9,275304,4.7,6.7,5941
1998-04-30,5842.9,275564,4.4,6,6047
1998-05-31,5870.8,275836,4.4,6.9,6212
1998-06-30,5887.4,276115,4.5,6.7,6259
1998-07-31,5928.8,276418,4.3,6.8,6179
1998-08-31,5956.3,276714,4.2,6.7,6300
1998-09-30,5995.2,277003,3.9,5.8,6280
1998-10-31,6018.5,277277,4,6.6,6100
1998-11-30,6064.8,277526,3.5,6.8,6032
1998-12-31,6067.4,277790,4,6.9,5976
1999-01-31,6099.7,277992,3.7,6.8,6111
1999-02-28,6138,278198,3.3,6.8,5783
1999-03-31,6202.5,278451,2.5,6.2,6004
1999-04-30,6245.1,278717,2.1,6.5,5796
1999-05-31,6264.1,279001,2.1,6.3,5951
1999-06-30,6297.3,279295,1.9,5.8,6025
1999-07-31,6338.6,279602,1.8,6.5,5838
1999-08-31,6375.7,279903,1.4,6,5915
1999-09-30,6396.7,280203,2,6.1,5778
1999-10-31,6433.2,280471,2.1,6.2,5716
1999-11-30,6531.3,280716,1.6,5.8,5653
1999-12-31,6538,280976,2.9,5.8,5708
2000-01-31,6618.5,281190,2.4,6.1,5858
2000-02-29,6685.3,281409,2,6,5733
2000-03-31,6664.2,281653,2.4,6.1,5481
2000-04-30,6688,281891,2.4,5.8,5758
2000-05-31,6712.1,282156,2.5,5.7,5651
2000-06-30,6745.8,282430,2.9,6,5747
2000-07-31,6766.7,282706,2.8,6.3,5853
2000-08-31,6839.3,282994,2.2,5.2,5625
2000-09-30,6846.2,283271,2.3,6.1,5534
2000-10-31,6860.2,283531,2.1,6.1,5639
2000-11-30,6908.5,283782,1.5,6,5634
2000-12-31,6938.2,284015,1.9,5.8,6023
2001-01-31,6969.2,284240,1.7,6.1,6089
2001-02-28,6960.1,284462,2,6.6,6141
2001-03-31,6978.5,284701,1.6,5.9,6271
2001-04-30,7029.1,284938,1,6.3,6226
2001-05-31,7045,285198,1.1,6,6484
2001-06-30,7064.1,285454,2.4,6.8,6583
2001-07-31,7098.6,285730,3.7,6.9,7042
2001-08-31,7012.7,286017,4.2,7.2,7142
2001-09-30,7222,286287,-0.2,7.3,7694
2001-10-31,7177.2,286545,0.7,7.7,8003
2001-11-30,7165.9,286788,1.1,8.2,8258
2001-12-31,7196.5,287021,2.9,8.4,8182
2002-01-31,7242,287242,2.8,8.3,8215
2002-02-28,7252.3,287453,3,8.4,8304
2002-03-31,7330.2,287675,2.6,8.9,8599
2002-04-30,7296.2,287916,3.1,9.5,8399
2002-05-31,7342.6,288171,2.8,11,8393
2002-06-30,7396.4,288427,1.9,8.9,8390
2002-07-31,7411,288694,1.7,9,8304
2002-08-31,7382.3,288965,2.2,9.5,8251
2002-09-30,7414.3,289229,2,9.6,8307
2002-10-31,7443.6,289477,1.8,9.3,8520
2002-11-30,7501.3,289696,1.5,9.6,8640
2002-12-31,7522.1,289913,1.8,9.6,8523
2003-01-31,7532.8,290122,2,9.5,8622
2003-02-28,7589.5,290331,1.7,9.7,8576
2003-03-31,7597.2,290557,2,10.2,8833
2003-04-30,7619.2,290791,2.3,9.9,8948
2003-05-31,7668.8,291041,2.1,11.5,9254
2003-06-30,7723.3,291289,2.8,10.3,9018
2003-07-31,7820.9,291552,2.5,10.1,8894
2003-08-31,7803.7,291811,1.7,10.2,8928
2003-09-30,7812.3,292074,2.1,10.4,8731
2003-10-31,7868.5,292318,2.2,10.3,8590
2003-11-30,7885.3,292529,2.4,10.4,8338
2003-12-31,7977.7,292723,2.1,10.6,8367
2004-01-31,8005.9,292909,2.3,10.2,8171
2004-02-29,8070.5,293112,2,10.2,8452
2004-03-31,8086.6,293340,2.2,9.5,8155
2004-04-30,8196.5,293569,1.5,9.9,8197
2004-05-31,8161.3,293805,2.1,10.9,8259
2004-06-30,8235.3,294056,1.7,8.9,8163
2004-07-31,8246.1,294323,2,9.3,7993
2004-08-31,8313.7,294587,1.2,9.6,7953
2004-09-30,8371.6,294857,1.4,9.5,8052
2004-10-31,8410.8,295105,1.2,9.7,7950
2004-11-30,8462,295344,4.3,9.4,7997
2004-12-31,8469.4,295576,0.9,9.4,7756
2005-01-31,8520.7,295767,0.6,9.1,7966
2005-02-28,8569,295975,0.2,9.2,7683
2005-03-31,8654.4,296209,-0.4,9,7657
2005-04-30,8644.6,296443,-0.1,9.1,7656
2005-05-31,8724.8,296684,-0.5,9.2,7507
2005-06-30,8833.9,296940,-0.9,9,7464
2005-07-31,8825.5,297207,-3,9.2,7360
2005-08-31,8882.5,297471,-0.5,8.5,7606
2005-09-30,8911.6,297740,-0.3,8.6,7436
2005-10-31,8916.4,297988,-0.3,8.4,7548
2005-11-30,8955.5,298227,-0.3,8.5,7331
2005-12-31,9034.4,298458,-0.3,8.5,7023
2006-01-31,9079.2,298645,-0.3,8.9,7158
2006-02-28,9123.8,298849,-0.4,8.5,7009
2006-03-31,9175.2,299079,-1,8.5,7098
2006-04-30,9238.6,299310,-1.6,8.5,7006
2006-05-31,9270.5,299548,-1.5,7.6,6984
2006-06-30,9338.9,299801,-1.7,8.2,7228
2006-07-31,9352.7,300065,-1.5,8.4,7116
2006-08-31,9348.5,300326,-1,8.1,6912
2006-09-30,9376,300592,-0.8,8,6715
2006-10-31,9410.8,300836,-0.9,8.2,6826
2006-11-30,9478.5,301070,-1.1,7.3,6849
2006-12-31,9540.3,301296,-0.9,8.1,7017
2007-01-31,9610.6,301481,-1,8.1,6865
2007-02-28,9653,301684,-0.7,8.5,6724
2007-03-31,9705,301913,-1.3,8.7,6801
